"id","group","day"
"825652",1,"Fri"
"1591741",1,"Fri"
"179386",2,"Fri"
"531348",2,"Fri"
"849521",3,"Fri"
"1483004",3,"Fri"
"398396",4,"Fri"
"675561",4,"Fri"
"73216",5,"Fri"
"374745",5,"Fri"
"455752",5,"Fri"
"1109689",5,"Fri"
"1881823",5,"Fri"
"422300",6,"Fri"
"1007202",6,"Fri"
"2007598",6,"Fri"
"996258",7,"Fri"
"1948150",7,"Fri"
"160360",8,"Fri"
"612957",8,"Fri"
"950113",8,"Fri"
"2061906",8,"Fri"
"766183",9,"Fri"
"880166",9,"Fri"
"1871836",9,"Fri"
"11311",10,"Fri"
"483106",10,"Fri"
"483896",10,"Fri"
"879255",10,"Fri"
"539617",11,"Fri"
"69530",11,"Fri"
"698208",12,"Fri"
"932874",12,"Fri"
"439105",13,"Fri"
"580064",13,"Fri"
"1053224",13,"Fri"
"1464748",13,"Fri"
"1696241",13,"Fri"
"903769",14,"Fri"
"1229412",14,"Fri"
"672552",15,"Fri"
"1013683",15,"Fri"
"741411",16,"Fri"
"1772261",16,"Fri"
"84322",17,"Fri"
"1740708",17,"Fri"
"1987765",17,"Fri"
"515271",18,"Fri"
"750163",18,"Fri"
"129457",19,"Fri"
"494296",19,"Fri"
"835642",19,"Fri"
"1495961",19,"Fri"
"944133",20,"Fri"
"1313613",20,"Fri"
"1629394",20,"Fri"
"398504",21,"Fri"
"668662",21,"Fri"
"91182",22,"Fri"
"1451127",22,"Fri"
"1477256",22,"Fri"
"1611141",22,"Fri"
"1959437",22,"Fri"
"508018",23,"Fri"
"1593258",23,"Fri"
"1762242",23,"Fri"
"1836139",23,"Fri"
"1709971",24,"Fri"
"2096121",24,"Fri"
"352086",25,"Fri"
"892578",25,"Fri"
"1495984",25,"Fri"
"1755750",25,"Fri"
"1156815",26,"Fri"
"1640316",26,"Fri"
"1999943",26,"Fri"
"549068",27,"Fri"
"1213563",27,"Fri"
"1428652",27,"Fri"
"1453536",27,"Fri"
"117066",28,"Fri"
"842645",28,"Fri"
"1119534",28,"Fri"
"1220077",28,"Fri"
"705880",29,"Fri"
"1085806",29,"Fri"
"1453012",29,"Fri"
"677612",30,"Fri"
"704292",30,"Fri"
"1402234",30,"Fri"
"349848",31,"Fri"
"1272536",31,"Fri"
