X,Y,RideID,Name,Type
0,67,W-entrance,W-entrance,Entrance
3,66,49,Raptor Restroom,Restrooms
6,43,20,Scholtz Express,Rides for Everyone
15,40,53,Smoky Wood BBQ,Food
16,39,53,Smoky Wood BBQ,Food
16,49,23,Rhynasaurus Rampage,Rides for Everyone
16,66,5,Wendisaurus Chase,Thrill Rides
17,43,7,Firefall,Thrill Rides
17,47,42,World of WarRocks Shops,Shopping
17,48,42,World of WarRocks Shops,Shopping
17,67,22,Jurassic Road,Rides for Everyone
19,39,NA,NA,NA
20,66,NA,NA,NA
21,33,33,Alvarez Beer Garden,Beer Gardens
21,35,33,Alvarez Beer Garden,Beer Gardens
22,27,65,Darwins Stop,Restrooms
22,34,46,Petroglyph Body Art,Shopping
23,54,28,Eberlesaurus Roundup,Rides for Everyone
23,66,59,EberTrex Frites,Food
24,66,59,EberTrex Frites,Food
24,67,59,EberTrex Frites,Food
26,59,25,Maiasaur Madness,Rides for Everyone
27,15,2,Galactosaurus Rage,Thrill Rides
28,66,26,Kristanodon Kaper,Rides for Everyone
29,67,48,The Magic Cavern,Shopping
30,66,48,The Magic Cavern,Shopping
30,67,48,The Magic Cavern,Shopping
31,34,32,Creighton Pavilion,Shows & Entertainment
32,33,32,Creighton Pavilion,Shows & Entertainment
34,68,21,Paleocarrie Carousel,Rides for Everyone
35,15,36,Paleo Shreckwiches,Food
36,15,36,Paleo Shreckwiches,Food
38,90,3,Auvilotops Express,Thrill Rides
41,60,40,Munzasaurus Souvenirs,Shopping
41,61,40,Munzasaurus Souvenirs,Shopping
42,20,57,Permafrosties,Food
42,37,greenspace-W,greenspace-W,Greenspace
42,60,40,Munzasaurus Souvenirs,Shopping
43,56,24,Kauf's Lost Canyon Escape,Rides for Everyone
43,59,40,Munzasaurus Souvenirs,Shopping
43,75,56,Floral Funnels,Food
43,78,31,Raptor Race,Rides for Everyone
44,25,43,Whitleys Plushadactyl,Shopping
45,24,8,Atmosfear,Thrill Rides
45,26,43,Whitleys Plushadactyl,Shopping
46,29,NA,NA,NA
47,11,1,Wrightiraptor Mountain,Thrill Rides
47,79,58,Granite Slab Pizza,Food
48,87,27,Squidosaur,Rides for Everyone
50,57,62,Liggement Fix-Me-Up,Information & Assistance
51,29,50,Tar Pit Stop,Restrooms
52,28,50,Tar Pit Stop,Restrooms
55,50,51,LavaTory,Restrooms
56,47,35,Theresaur Food Stop,Food
57,55,NA,NA,NA
57,64,41,Laskonasaur Store,Shopping
57,73,38,Shilobite oPizza,Food
57,79,45,DinoChic Clothing,Shopping
57,80,45,DinoChic Clothing,Shopping
57,81,45,DinoChic Clothing,Shopping
58,63,41,Laskonasaur Store,Shopping
58,72,38,Shilobite oPizza,Food
59,46,35,Theresaur Food Stop,Food
59,89,37,Krystal Cook Cafe,Food
60,37,greenspace-E,greenspace-E,Greenspace
60,45,35,Theresaur Food Stop,Food
63,99,N-entrance,N-entrance,Entrance
64,30,NA,NA,NA
67,37,small greenspace,small greenspace,Greenspace
68,43,81,Flight of the Swingodon,Thrill Rides
68,57,47,League of Legenodoms,Shopping
68,66,NA,NA,NA
69,44,81,Flight of the Swingodon,Thrill Rides
69,58,47,League of Legenodoms,Shopping
69,59,47,League of Legenodoms,Shopping
69,66,61,Primal Arcade Carnage,Shows & Entertainment
69,67,61,Primal Arcade Carnage,Shows & Entertainment
69,72,44,Staskosaurus Designs,Shopping
69,73,44,Staskosaurus Designs,Shopping
73,20,66,Tyrannosaurus Rest,Restrooms
73,79,11,Sauroma Bumpers,Kiddie Rides
73,84,12,Flying TyrAndrienkos,Kiddie Rides
75,74,NA,NA,NA
76,22,63,Grinosaurus Stage,Shows & Entertainment
76,61,55,Plaisantly Popped Corn,Food
76,73,52,TriceraStop,Restrooms
76,88,14,Beelzebufo,Kiddie Rides
78,24,34,Mary Anning Beer Garden,Beer Gardens
78,37,30,Ichthyoroberts Rapids,Rides for Everyone
78,48,4,TerrorSaur,Thrill Rides
79,25,34,Mary Anning Beer Garden,Beer Gardens
79,87,13,Cyndisaurus Asteroid,Kiddie Rides
79,89,15,Enchanted Toadstools,Kiddie Rides
81,77,10,Jeredactyl Jump,Kiddie Rides
82,80,16,Stegocycles,Kiddie Rides
83,43,NA,NA,NA
83,88,17,Blue Iguanodon,Kiddie Rides
84,78,54,Ice Age Cones,Food
85,86,18,Wild Jungle Cruise,Kiddie Rides
86,44,6,Keimosaurus Big Spin,Thrill Rides
87,48,29,Dykesadactyl Thrill,Rides for Everyone
87,63,64,SabreTooth Theatre,Shows & Entertainment
87,67,39,Chensational Sweets,Food
87,68,39,Chensational Sweets,Food
87,81,19,Stone Cups,Kiddie Rides
88,66,39,Chensational Sweets,Food
92,77,67,Fisching Rooms,Restrooms
92,81,9,North Line,Kiddie Rides
99,77,E-entrance,E-entrance,Entrance
