X,Y,RideID,Name,Color,Type,Region
0,67,W-entrance,W-entrance,,Entrance,
6,43,20,Scholtz Express,red,Rides for Everyone,
16,66,5,Wendisaurus Chase,blue,Thrill Rides,
16,49,23,Rhynasaurus Rampage,violet,Rides for Everyone,
17,43,7,Firefall,lightgreen,Thrill Rides,
17,67,22,Jurassic Road,blue,Rides for Everyone,
23,54,28,Eberlesaurus Roundup,violet,Rides for Everyone,
26,59,25,Maiasaur Madness,violet,Rides for Everyone,
27,15,2,Galactosaurus Rage,blue,Thrill Rides,
28,66,26,Kristanodon Kaper,violet,Rides for Everyone,
32,33,32,Creighton Pavilion,lightgrey,Shows & Entertainment,
34,68,21,Paleocarrie Carousel,violet,Rides for Everyone,
38,90,3,Auvilotops Express,blue,Thrill Rides,
42,37,greenspace-W,greenspace-W,,Greenspace,
43,56,24,Kauf's Lost Canyon Escape,blue,Rides for Everyone,
43,78,31,Raptor Race,violet,Rides for Everyone,
45,24,8,Atmosfear,blue,Thrill Rides,
47,11,1,Wrightiraptor Mountain,blue,Thrill Rides,
48,87,27,Squidosaur,violet,Rides for Everyone,
50,57,62,Liggement Fix-Me-Up,orange,Information & Assistance,
60,37,greenspace-E,greenspace-E,,Greenspace,
63,99,N-entrance,N-entrance,,Entrance,
67,37,small greenspace,small greenspace,,Greenspace,
69,44,81,Flight of the Swingodon,,Thrill Rides,
73,79,11,Sauroma Bumpers,blue,Kiddie Rides,
73,84,12,Flying TyrAndrienkos,violet,Kiddie Rides,
76,88,14,Beelzebufo,violet,Kiddie Rides,
76,22,"66,34,63",concert space,,concert space,
78,48,4,TerrorSaur,violet,Thrill Rides,
78,37,30,Ichthyoroberts Rapids,blue,Rides for Everyone,
79,87,13,Cyndisaurus Asteroid,blue,Kiddie Rides,
79,89,15,Enchanted Toadstools,violet,Kiddie Rides,
81,77,10,Jeredactyl Jump,violet,Kiddie Rides,
82,80,16,Stegocycles,violet,Kiddie Rides,
83,88,17,Blue Iguanodon,violet,Kiddie Rides,
85,86,18,Wild Jungle Cruise,violet,Kiddie Rides,
86,44,6,Keimosaurus Big Spin,lightgreen,Thrill Rides,
87,81,19,Stone Cups,violet,Kiddie Rides,
87,48,29,Dykesadactyl Thrill,violet,Rides for Everyone,
87,63,64,SabreTooth Theatre,,Shows & Entertainment,
92,81,9,North Line,blue,Kiddie Rides,
99,77,E-entrance,E-entrance,,Entrance,
,,33,Alvarez Beer Garden,olive,Beer Gardens,
